信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,情绪|非银情绪_得分,情绪|非银情绪变化_得分
2022-06-22,2022-06-23,1.0,看多,0.00029259115606250496,0.0008004825769563073,-0.0005078914208938023,0.0001228095238095,0.0001697816322529,0.1999999999999918,0.800000000000002,-0.6000000000000103,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-06-23,2022-06-24,1.0,看多,0.0003944084339320142,-0.00014862896388045943,0.0005430373978124736,0.0001227301587301,0.0002716782752019,0.3200000000000078,-0.3000000000000224,0.6200000000000302,是,其他,否,否,其他,0.0,100.0
2022-06-24,2022-06-27,1.0,看多,0.00013958583370898836,-0.0013993340167377522,0.0015389198504467405,0.0001226031746031,1.698265910587337e-05,0.0200000000009914,-1.749999999999981,1.7700000000009724,是,其他,否,否,其他,0.0,100.0
2022-06-27,2022-06-28,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-06-28,2022-06-29,1.0,看多,-0.001048554616609354,-0.0006188732067442526,-0.0004296814098651014,0.0001228611111111,-0.0011714157277204,-1.380000000000027,-0.8499999999999828,-0.5300000000000442,否,该空没空,否,是,该空没空,0.0,100.0
2022-06-29,2022-06-30,1.0,看多,-0.0017257891231124978,0.0011447136332896068,-0.0028705027564021046,0.0001234087301587,-0.0018491978532713,-2.17999999999996,1.1999999999999855,-3.3799999999999457,否,其他,是,是,其他,0.0,100.0
2022-06-30,2022-07-01,1.0,看多,0.0015562370558650507,0.0008781186495643301,0.0006781184063007206,0.0001242738095238,0.0014319632463413,1.6899999999999902,0.889999999999988,0.8000000000000022,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-07-01,2022-07-04,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-07-04,2022-07-05,1.0,看多,0.0004206424202894965,-0.001523145010309479,0.0019437874305989755,0.0001239642857142,0.0002966781345751,0.3500000000000031,-1.9000000000000263,2.2500000000000293,是,其他,否,否,其他,0.0,100.0
2022-07-05,2022-07-06,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-07-06,2022-07-07,1.0,看多,-0.0026514190907271917,-8.544184047454273e-05,-0.002565977250252649,0.0001231825396825,-0.0027746016304098,-3.270000000000009,-0.2299999999999871,-3.040000000000022,否,该空没空,否,是,该空没空,0.0,100.0
2022-07-07,2022-07-08,1.0,看多,-0.0008581459258949486,0.00011252380952386787,-0.0009706697354188165,0.0001244801587301,-0.0009826260846252,-1.1599999999999806,0.0,-1.1599999999999806,否,其他,是,是,其他,0.0,100.0
2022-07-08,2022-07-11,1.0,看多,0.0017842606071694078,-0.00012833834990766402,0.0019125989570770718,0.0001249404761904,0.0016593201309789,1.9600000000000173,-0.2800000000000024,2.2400000000000198,是,其他,否,否,其他,0.0,100.0
2022-07-11,2022-07-12,1.0,看多,0.0013953170349902955,0.0011275512518025277,0.0002677657831877678,0.0001241626984126,0.0012711543365777,1.4999999999999736,1.1800000000000006,0.319999999999973,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-07-12,2022-07-13,1.0,看多,0.0016246747871362377,0.0013944887656620608,0.00023018602147417688,0.0001235674603174,0.0015011073268188,1.770000000000001,1.4899999999999982,0.2800000000000027,是,有效进攻,是,否,有效进攻,0.0,100.0
2022-07-13,2022-07-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
2022-07-14,2022-07-15,1.0,看多,-0.00020073518165819593,0.0014897727073508449,-0.0016905078890090408,0.0001221309523809,-0.0003228661340392,-0.3799999999999984,1.600000000000004,-1.9800000000000024,否,其他,是,是,其他,0.0,100.0
2022-07-15,2022-07-18,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0
