signal_date,总分_raw,总分,仓位,结论,供给|发行量_得分,供给|发行量_乘数,供给|发行占比_得分,供给|发行占比_乘数,供给|10Y以上发行_得分,供给|10Y以上发行_乘数,需求|银行总净买入_得分,需求|银行总净买入_乘数,估值|地方债-国债利差_得分,估值|地方债-国债利差_乘数,估值|地方债-国债利差变化_得分,估值|地方债-国债利差变化_乘数,估值|地方债-NCD利差_得分,估值|地方债-NCD利差_乘数,供给|发行量变化_得分,供给|发行量变化_乘数,需求|银行总净买入变化_得分,需求|银行总净买入变化_乘数,估值|地方债-NCD利差变化_得分,估值|地方债-NCD利差变化_乘数,估值|地方债-国债利差变化加速度_得分,估值|地方债-国债利差变化加速度_乘数,供需交互|供给×银行承接_得分,供需交互|供给×银行承接_乘数,供需交互|供给×非银承接_得分,供需交互|供给×非银承接_乘数,supply_observed_at,bank_observed_at,valuation_observed_at,sentiment_observed_at,supply_amount_raw,supply_ratio_raw,supply_long_raw,bank_demand_raw,spread_gov_raw,nonbank_sentiment_raw,spread_ncd_raw,spread_change_raw,supply_amount_change_raw,bank_demand_change_raw,nonbank_sentiment_change_raw,spread_ncd_change_raw,spread_change_acceleration_raw
2022-03-04,55.0,55.0,0.0,中性,5.0,0.5,5.0,1.0,15.0,0.5,0.0,0.5,22.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,5.0,1.0,0.0,1.0,2.5,0.5,0.0,0.25,0.0,0.0,2022-03-03,2022-03-03,2022-03-03,2022-03-03,1040.2799,0.3355438649265182,561.8240999999998,11.23,33.00000000000001,-0.019923,59.00000000000003,-0.4499999999999744,334.96410000000003,13.44,-0.1013679999999999,-2.399999999999963,-1.2899999999999707
2022-03-07,52.5,52.5,0.0,中性,5.0,0.5,2.5,0.5,15.0,0.5,0.0,1.0,22.5,0.5,0.0,1.0,0.0,0.5,0.0,0.5,5.0,1.0,0.0,1.0,2.5,0.5,0.0,0.5,0.0,0.0,2022-03-06,2022-03-04,2022-03-04,2022-03-04,1350.6348,0.3960068665223258,787.7489999999998,17.78,32.920000000000016,-0.057947,56.67,-2.0,310.35490000000004,6.550000000000001,-0.038024,-2.3300000000000267,-1.5500000000000256
2022-03-08,55.0,55.0,0.0,中性,5.0,0.5,2.5,0.5,0.0,0.0,0.0,0.5,45.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.5,0.0,0.25,0.0,0.0,2022-03-07,2022-03-07,2022-03-07,2022-03-07,2096.8356,0.5044307261032884,989.8289999999996,3.9,34.23999999999996,-0.14364,56.49999999999999,-1.250000000000064,746.2007999999998,-13.88,-0.0856929999999999,-0.1700000000000088,0.749999999999936
2022-03-09,32.5,32.5,0.0,中性,5.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,22.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,2022-03-08,2022-03-08,2022-03-08,2022-03-08,2239.0237,0.5208214367369036,1166.7729,-8.61,32.630000000000024,-0.239796,56.39000000000003,-0.2899999999999494,142.1881000000003,-12.51,-0.096156,-0.1099999999999639,0.9600000000001144
2022-03-10,35.0,35.0,0.0,中性,5.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,22.5,0.5,0.0,1.0,0.0,0.5,0.0,0.5,2.5,0.5,0.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,2022-03-09,2022-03-09,2022-03-09,2022-03-09,2225.2469,0.5168685912066969,1230.2168,-8.45,32.12000000000002,-0.269053,56.38000000000001,-2.0299999999999727,-13.776800000000094,0.1600000000000001,-0.0292569999999999,-0.0100000000000193,-1.7400000000000233
2022-03-11,27.5,27.5,0.0,看空,0.0,0.0,2.5,0.5,0.0,0.0,0.0,0.0,22.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,2022-03-10,2022-03-10,2022-03-10,2022-03-10,2380.8572,0.5337219043909316,1112.243,-16.58,32.18000000000001,-0.277843,56.20000000000003,-0.8200000000000003,155.61029999999982,-8.129999999999999,-0.00879,-0.1799999999999784,1.2099999999999724
2022-03-14,70.0,70.0,1.0,看多,5.0,0.5,2.5,0.5,15.0,0.5,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-13,2022-03-11,2022-03-11,2022-03-11,2070.5023,0.5241111491062792,886.3180999999998,-12.55,36.92999999999999,-0.38269,54.95000000000001,4.009999999999977,-310.3548999999998,4.029999999999998,-0.1048469999999999,-1.250000000000021,4.829999999999977
2022-03-15,75.0,75.0,1.0,看多,5.0,0.5,2.5,0.5,15.0,0.5,0.0,0.0,45.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,2.5,0.5,0.0,0.5,5.0,1.0,0.0,0.0,0.0,0.0,2022-03-14,2022-03-11,2022-03-14,2022-03-14,1558.1788,0.453198885409915,739.1340999999998,-12.55,34.54000000000001,-0.279751,54.31000000000004,0.300000000000054,-512.3235000000002,4.029999999999998,0.1029389999999999,-0.6399999999999721,-3.7099999999999222
2022-03-16,50.0,50.0,0.0,中性,5.0,0.5,2.5,0.5,15.0,0.5,0.0,0.0,22.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,2.5,0.5,0.0,1.0,2.5,0.5,0.0,0.0,0.0,0.0,2022-03-15,2022-03-15,2022-03-15,2022-03-15,1679.8838,0.4718928747056291,896.6901999999998,-13.17,31.72999999999999,-0.7279439999999999,50.99999999999998,-0.9000000000000341,121.70500000000015,-0.6199999999999992,-0.4481929999999999,-3.310000000000059,-1.200000000000088
2022-03-17,47.5,47.5,0.0,中性,5.0,0.5,2.5,0.5,15.0,0.5,0.0,0.0,22.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-16,2022-03-16,2022-03-16,2022-03-16,1407.5717,0.4307699506639744,739.2462999999998,-17.57,34.18000000000001,-0.997628,52.70000000000002,2.059999999999988,-272.3121000000001,-4.4,-0.269684,1.7000000000000384,2.960000000000022
2022-03-18,70.0,70.0,1.0,看多,5.0,0.5,5.0,1.0,15.0,0.5,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-17,2022-03-17,2022-03-17,2022-03-17,954.8362,0.339215546538729,605.6159999999998,-25.51,38.09,-0.91813,55.85,5.909999999999997,-452.7355,-7.940000000000001,0.0794979999999999,3.1499999999999844,3.850000000000009
2022-03-21,60.0,60.0,0.0,中性,5.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,2.5,0.5,0.0,0.5,5.0,1.0,0.0,0.0,0.0,0.0,2022-03-20,2022-03-18,2022-03-18,2022-03-18,1731.0962,0.4958603546931761,1080.576,-22.37,36.140000000000015,-0.780485,56.410000000000025,-0.7899999999999778,776.26,3.140000000000001,0.137645,0.5600000000000236,-6.699999999999974
2022-03-22,35.0,35.0,0.0,中性,5.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,22.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,2.5,0.5,0.0,0.5,2.5,0.5,0.0,0.0,0.0,0.0,2022-03-21,2022-03-21,2022-03-21,2022-03-21,1758.7847,0.4998273125377631,1147.5731,-19.87,33.23999999999998,-0.7577440000000001,56.009999999999984,-1.300000000000033,27.688499999999976,2.5,0.0227409999999999,-0.4000000000000412,-0.5100000000000551
