日期,信号日期,总分,结论,仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2024-12-04,2024-12-02,35.0,中性,0.0,2.1196,1.9612,0.0,0.0025416096578859924,0.0,0.0,7.891269841269842e-05,0.002462696959473294,-7.891269841269842e-05,-0.002462696959473294,0.0,2.7399999999999993,-2.7399999999999993,18.20000000000002,82.47999999999999,-64.27999999999996,-0.0013836388888888854,0.0155277819287871,0.07155895634920635,0.07218800243923353,1.0140603264232462,1.1536398403927144,0.8790094541794313
2024-12-05,2024-12-02,35.0,中性,0.0,2.0962,1.9462,0.0,0.001427952519964168,0.0,0.0,7.782539682539682e-05,0.0013501271231387711,-7.782539682539682e-05,-0.0013501271231387711,0.0,1.5000000000000082,-1.5000000000000082,18.20000000000002,83.98,-65.77999999999997,-0.0013836388888888854,0.0155277819287871,0.07163678174603175,0.0735381295623723,1.0140603264232462,1.155287183309934,0.8777560602013531
2024-12-06,2024-12-02,35.0,中性,0.0,2.0908,1.9539,0.0,-0.0006163798674277849,0.0,0.0,7.723015873015873e-05,-0.0006936100261579436,-7.723015873015873e-05,0.0006936100261579436,0.0,-0.7700000000000068,0.7700000000000068,18.20000000000002,83.21,-65.00999999999996,-0.0013836388888888854,0.0155277819287871,0.07171401190476191,0.07284451953621435,1.0140603264232462,1.1545750875490444,0.8782974250517688
2024-12-09,2024-12-09,35.0,中性,0.0,2.0707,1.9168,0.0,0.0034181271541610663,0.0,0.0,7.753571428571428e-05,0.003340591439875352,-7.753571428571428e-05,-0.003340591439875352,0.0,3.709999999999998,-3.709999999999998,18.20000000000002,86.91999999999999,-68.71999999999996,-0.0013836388888888854,0.0155277819287871,0.07179154761904763,0.0761851109760897,1.0140603264232462,1.1585215720073136,0.8753055194874217
2024-12-10,2024-12-09,35.0,中性,0.0,1.976,1.8468,0.0,0.006391332668169567,0.0,0.0,7.606349206349206e-05,0.006315269176106075,-7.606349206349206e-05,-0.006315269176106075,0.0,7.000000000000027,-7.000000000000027,18.20000000000002,93.92000000000002,-75.71999999999998,-0.0013836388888888854,0.0155277819287871,0.07186761111111112,0.08250038015219577,1.0140603264232462,1.165926068777263,0.869746679124104
2024-12-11,2024-12-09,35.0,中性,0.0,1.972,1.8218,0.0,0.002337039128104116,0.0,0.0,7.328571428571428e-05,0.0022637534138184017,-7.328571428571428e-05,-0.0022637534138184017,0.0,2.4999999999999676,-2.4999999999999676,18.20000000000002,96.41999999999999,-78.21999999999996,-0.0013836388888888854,0.0155277819287871,0.07194089682539684,0.08476413356601417,1.0140603264232462,1.168650883620472,0.8677187863681706
2024-12-12,2024-12-09,35.0,中性,0.0,1.9602,1.8172,0.0,0.0004893717258676155,0.0,0.0,7.22936507936508e-05,0.00041707807507396477,-7.22936507936508e-05,-0.00041707807507396477,0.0,0.460000000000009,-0.460000000000009,18.20000000000002,96.88,-78.67999999999996,-0.0013836388888888854,0.0155277819287871,0.0720131904761905,0.08518121164108813,1.0140603264232462,1.1692227883203261,0.8672943570318347
2024-12-13,2024-12-09,35.0,中性,0.0,1.9235,1.7771,0.0,0.003708823008274663,0.0,0.0,7.211111111111112e-05,0.0036367118971635517,-7.211111111111112e-05,-0.0036367118971635517,0.0,4.01000000000002,-4.01000000000002,18.20000000000002,100.89000000000001,-82.68999999999998,-0.0013836388888888854,0.0155277819287871,0.0720853015873016,0.08881792353825169,1.0140603264232462,1.1735592286994476,0.8640896016360758
2024-12-16,2024-12-16,32.5,中性,0.0,1.8802,1.7215,0.0,0.005123587540199247,0.0,0.0,7.051984126984126e-05,0.005053067698929406,-7.051984126984126e-05,-0.005053067698929406,0.0,5.559999999999975,-5.559999999999975,18.20000000000002,106.44999999999999,-88.24999999999996,-0.0013836388888888854,0.0155277819287871,0.07215582142857144,0.0938709912371811,1.0140603264232462,1.1795720621412977,0.8596849306369674
2024-12-17,2024-12-16,32.5,中性,0.0,1.8963,1.7237,-0.0,-0.00013221417927750855,0.0,-0.0,6.831349206349207e-05,-0.0002005276713410006,-6.831349206349207e-05,0.0002005276713410006,-0.0,-0.21999999999997716,0.21999999999997716,18.20000000000002,106.23000000000002,-88.02999999999999,-0.0013836388888888854,0.0155277819287871,0.07222413492063492,0.09367046356584009,1.0140603264232462,1.179416105989203,0.8597986082042951
