signal_date,总分_raw,总分,仓位,结论,情绪|非银情绪_得分,情绪|非银情绪_乘数,情绪|非银情绪变化_得分,情绪|非银情绪变化_乘数,supply_observed_at,bank_observed_at,valuation_observed_at,sentiment_observed_at,supply_amount_raw,supply_ratio_raw,supply_long_raw,bank_demand_raw,spread_gov_raw,nonbank_sentiment_raw,spread_ncd_raw,spread_change_raw,supply_amount_change_raw,bank_demand_change_raw,nonbank_sentiment_change_raw,spread_ncd_change_raw,spread_change_acceleration_raw
2022-11-15,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-11-14,2022-11-14,2022-11-14,2022-11-14,460.9506,0.3516155376106463,223.1385999999995,9.319999999999997,17.870000000000008,-1.162673,53.41,-5.710000000000015,-53.10070000000008,13.27,-1.047476,-12.02000000000001,-3.560000000000052
2022-11-16,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-11-15,2022-11-15,2022-11-15,2022-11-15,470.4117,0.3562613842334169,192.8266999999996,24.94,20.120000000000005,-1.683866,54.67,-5.240000000000002,9.461099999999988,15.620000000000005,-0.521193,1.2600000000000051,0.4700000000000131
2022-11-17,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-11-16,2022-11-16,2022-11-16,2022-11-16,459.2547000000001,0.3507756741297163,165.3196999999996,32.27,19.26999999999999,-2.38629,37.56,-4.620000000000022,-11.156999999999869,7.330000000000002,-0.7024239999999997,-17.11,0.6199999999999797
2022-11-18,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-11-17,2022-11-17,2022-11-17,2022-11-17,426.5347,0.2191251458296631,149.0396999999996,30.74,21.560000000000024,-2.774763,50.82000000000004,-2.4599999999999937,-32.72000000000014,-1.5300000000000047,-0.3884730000000003,13.26000000000004,2.160000000000029
2022-11-21,100.0,100.0,1.0,看多,0.0,0.0,100.0,1.0,2022-11-20,2022-11-18,2022-11-18,2022-11-18,185.3755,0.0880026850537781,20.02999999999955,21.81,18.52999999999998,-2.38453,49.03,-3.360000000000028,-241.1592,-8.93,0.3902330000000003,-1.7900000000000418,-0.9000000000000341
2022-11-22,100.0,100.0,1.0,看多,0.0,0.0,100.0,1.0,2022-11-21,2022-11-21,2022-11-21,2022-11-21,347.5918,0.1532124372292436,20.02999999999955,8.389999999999999,18.35999999999997,-1.467372,48.15999999999998,0.48999999999997,162.2163,-13.42,0.917158,-0.8700000000000188,3.849999999999998
2022-11-23,100.0,100.0,1.0,看多,0.0,0.0,100.0,1.0,2022-11-22,2022-11-22,2022-11-22,2022-11-22,271.0594,0.1236494937366323,39.16999999999955,3.899999999999998,18.41,-1.36736,47.16999999999998,-1.7100000000000115,-76.5324,-4.49,0.1000119999999999,-0.990000000000002,-2.199999999999981
2022-11-24,100.0,100.0,1.0,看多,0.0,0.0,100.0,1.0,2022-11-23,2022-11-23,2022-11-23,2022-11-23,268.4094,0.0954952511277045,45.46999999999954,2.009999999999998,18.89000000000003,-0.607838,49.63999999999999,-0.3799999999999599,-2.6499999999999773,-1.89,0.7595219999999999,2.470000000000013,1.3300000000000516
2022-11-25,100.0,100.0,1.0,看多,0.0,1.0,100.0,1.0,2022-11-24,2022-11-24,2022-11-24,2022-11-24,506.0251000000001,0.2127653195940284,45.46999999999954,-7.700000000000003,17.520000000000024,0.037159,56.02,-4.039999999999999,237.6157000000001,-9.71,0.644997,6.38000000000001,-3.660000000000039
2022-11-28,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-11-27,2022-11-25,2022-11-25,2022-11-25,485.9951,0.2686695873077435,25.43999999999955,-1.6400000000000023,14.529999999999976,-0.0365859999999999,54.19999999999998,-4.000000000000004,-20.030000000000143,6.0600000000000005,-0.0737449999999999,-1.8200000000000216,0.0399999999999947
