实验编号,实验阶段,调整模块,候选参数,供给低分位,供给高分位,需求低分位,需求高分位,地方债国债利差低分位,地方债国债利差高分位,地方债NCD利差低分位,地方债NCD利差高分位,利差周变化阈值_BP,看空总分阈值,看空最少利空模块数,看空要求供给或需求利空,看空连续确认周期数,目标函数,策略累计收益率,基准累计收益率,累计超额收益率,策略年化收益率,策略夏普比率,策略最大回撤,累计资本利得_BP,基准累计资本利得_BP,资本利得超额_BP,资本利得交易胜率,开仓交易总数,已平仓交易数,平均单笔资本利得_BP,平均每笔盈利_BP,最佳交易_BP,最差交易_BP,资本利得最大回撤_BP,未平仓交易数,未平仓浮动资本利得_BP,调仓周期胜率,看空信号数,相对基线变化信号数,策略Carry贡献,策略资本利得贡献,最新总分,最新仓位
20/80_x_15/85,关键模块交叉,地方债国债利差阈值 × 供给分位阈值,x_15/85,15.0,85.0,25.0,75.0,20.0,80.0,35.0,65.0,1.5,30.0,2,0,1,100.28969230769364,0.12586001142738246,0.10227707903424177,0.023582932393140688,0.03651385296976151,1.8918734608702499,-0.011717476437037133,87.36000000000051,66.6799999999995,20.680000000001016,0.9230769230769231,14,13,6.150384615384656,6.789583333333378,38.760000000000524,-1.5200000000000111,-14.659999999999016,1,7.405,0.6369047619047619,18,9,0.042779343253968226,0.0770255879364693,65.0,0.5
15/85_x_15/85,关键模块交叉,地方债国债利差阈值 × 供给分位阈值,x_15/85,15.0,85.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,30.0,2,0,1,99.305916666668,0.12687824056840769,0.10505743624194741,0.021820804326460275,0.036797354136166804,1.9607070963747508,-0.011717476437036911,87.91500000000049,69.04999999999947,18.865000000001018,0.9166666666666666,13,12,6.605000000000042,7.34363636363641,38.75000000000001,-1.5200000000000111,-14.659999999999016,1,8.655000000000003,0.6488095238095238,15,14,0.043134126984126955,0.0775643000810231,65.0,0.5
看空<25_必须包含供给或需求利空,看空触发条件,总分与确认规则,必须包含供给或需求利空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,25.0,0,1,1,99.08638888888932,0.13342811994121906,0.10402503182992229,0.02940308811129677,0.03861675083492733,2.0142980183157926,-0.0117174764370378,91.29999999999849,64.90999999999947,26.38999999999902,0.8888888888888888,10,9,9.127222222222054,10.296874999999812,44.74499999999903,-0.23000000000000453,-14.659999999999016,1,9.155,0.6726190476190477,10,9,0.045952972222222194,0.08056531720935363,67.5,0.5
看空<25_至少2个模块且包含供需利空,看空触发条件,总分与确认规则,至少2个模块且包含供需利空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,25.0,2,1,1,99.08638888888932,0.13342811994121906,0.10402503182992229,0.02940308811129677,0.03861675083492733,2.0142980183157926,-0.0117174764370378,91.29999999999849,64.90999999999947,26.38999999999902,0.8888888888888888,10,9,9.127222222222054,10.296874999999812,44.74499999999903,-0.23000000000000453,-14.659999999999016,1,9.155,0.6726190476190477,10,9,0.045952972222222194,0.08056531720935363,67.5,0.5
看空<30_必须包含供给或需求利空,看空触发条件,总分与确认规则,必须包含供给或需求利空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,30.0,0,1,1,99.07638888888941,0.13296414202807783,0.10347167535684099,0.02949246667123684,0.038488110786288665,2.0047188236034374,-0.011717476437037133,91.09999999999899,64.58999999999997,26.50999999999901,0.8888888888888888,10,9,9.104999999999887,10.271874999999874,44.74499999999903,-0.23000000000000453,-14.659999999999016,1,9.155,0.6666666666666666,11,8,0.04571340277777775,0.08039514994602774,67.5,0.5
看空<30_至少2个模块且包含供需利空,看空触发条件,总分与确认规则,至少2个模块且包含供需利空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,30.0,2,1,1,99.07638888888941,0.13296414202807783,0.10347167535684099,0.02949246667123684,0.038488110786288665,2.0047188236034374,-0.011717476437037133,91.09999999999899,64.58999999999997,26.50999999999901,0.8888888888888888,10,9,9.104999999999887,10.271874999999874,44.74499999999903,-0.23000000000000453,-14.659999999999016,1,9.155,0.6666666666666666,11,8,0.04571340277777775,0.08039514994602774,67.5,0.5
供给分位阈值_15/85,单模块敏感性,供给分位阈值,15/85,15.0,85.0,25.0,75.0,20.0,80.0,25.0,75.0,2.0,30.0,0,0,1,98.69366666666822,0.12196283904369798,0.09917949303423046,0.02278334600946752,0.03542712498951328,1.7978191841170925,-0.011717476437036689,83.560000000001,63.6599999999995,19.900000000001498,0.9166666666666666,13,12,6.346250000000083,7.061363636363729,37.575000000000514,-1.5200000000000111,-14.659999999999016,1,7.405,0.6369047619047619,17,6,0.0425619345238095,0.07377571839730457,65.0,0.5
30/70_x_25/75,关键模块交叉,地方债国债利差阈值 × 供给分位阈值,x_25/75,25.0,75.0,25.0,75.0,30.0,70.0,35.0,65.0,1.5,30.0,2,0,1,98.31466666666694,0.13319493174281893,0.10935544164820166,0.023839490094617277,0.03855210290715738,2.0669722058701834,-0.014083165663913877,94.58999999999952,73.60999999999997,20.97999999999955,0.9166666666666666,13,12,5.8141666666666305,6.422272727272687,40.69000000000003,-0.8749999999999903,-17.514999999999503,1,24.819999999999965,0.6369047619047619,19,8,0.043053466269841245,0.08324535388363581,67.5,0.5
地方债国债利差阈值_30/70,单模块敏感性,地方债国债利差阈值,30/70,25.0,75.0,25.0,75.0,30.0,70.0,25.0,75.0,2.0,30.0,0,0,1,97.19934090909118,0.13045484575145916,0.10562273242386278,0.024832113327596383,0.03779175917998345,1.98637625080246,-0.01408316566391321,91.5199999999995,69.51499999999999,22.004999999999512,0.9090909090909091,12,11,5.97499999999996,6.935499999999955,39.50500000000003,-3.630000000000004,-17.514999999999503,1,25.79499999999997,0.6369047619047619,18,7,0.04321500793650791,0.08066642889221125,67.5,0.5
30/70_x_20/80,关键模块交叉,地方债国债利差阈值 × 供给分位阈值,x_20/80,20.0,80.0,25.0,75.0,30.0,70.0,35.0,65.0,1.5,30.0,2,0,1,96.93491666666718,0.12998846450425328,0.10976348117685841,0.020224983327394863,0.037662215535337884,2.0192253994902805,-0.014083165663912656,92.16000000000003,74.75499999999997,17.405000000000058,0.9166666666666666,13,12,5.653333333333339,6.246818181818186,38.760000000000524,-0.8749999999999903,-17.514999999999503,1,24.31999999999997,0.6369047619047619,19,11,0.0423205972222222,0.08113797353363159,67.5,0.5
15/85_x_30/70,关键模块交叉,地方债国债利差阈值 × 供给分位阈值,x_30/70,30.0,70.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,30.0,2,0,1,96.82803571428587,0.13305539977663972,0.10351358560177881,0.029541814174860903,0.03851341532672725,2.0298159636266453,-0.011321780662201464,92.97499999999897,66.23999999999944,26.73499999999953,0.8571428571428571,15,14,5.467857142857072,7.339999999999921,42.199999999999534,-7.659999999999993,-14.164999999999509,1,16.424999999999983,0.6369047619047619,18,9,0.04422613888888886,0.08195739736777477,77.5,1.0
看空<40_连续2周看空,看空触发条件,总分与确认规则,连续2周看空,25.0,75.0,25.0,75.0,15.0,85.0,35.0,65.0,1.5,40.0,0,0,2,96.69978571428604,0.13037436848312756,0.10318346308859305,0.027190905394534504,0.037769408201199006,2.007476172469439,-0.010825903622107447,92.8650000000005,68.11499999999944,24.750000000001066,0.8571428571428571,15,14,5.694285714285749,7.312499999999999,25.974999999999014,-4.889999999999999,-13.775000000000027,1,13.144999999999998,0.5952380952380952,26,31,0.04182707142857141,0.08197776603664161,67.5,0.5
