信号日期,基线仓位,基线策略资本利得_BP,基线基准资本利得_BP,基线资本利得超额_BP,基线资本利得判断类型,最优仓位,最优策略资本利得_BP,最优资本利得超额_BP,最优资本利得判断类型,仓位是否变化,资本利得判断是否变化,资本利得改善_BP
2025-04-21,1.0,1.4399999999999828,-1.1299999999999852,2.5699999999999683,其他,1.0,1.4399999999999828,2.5699999999999683,其他,否,否,0.0
2025-04-28,0.0,0.0,3.6299999999999875,-3.6299999999999875,低仓少吃,0.0,0.0,-3.6299999999999875,低仓少吃,否,否,0.0
2025-05-05,1.0,0.999999999999994,-1.0800000000000045,2.0799999999999983,其他,1.0,0.999999999999994,2.0799999999999983,其他,否,否,0.0
2025-05-12,1.0,-2.5000000000000027,-4.4199999999999795,1.9199999999999768,其他,1.0,-2.5000000000000027,1.9199999999999768,其他,否,否,0.0
2025-05-19,0.0,0.0,-4.150000000000022,4.150000000000022,有效防守,0.0,0.0,4.150000000000022,有效防守,否,否,0.0
2025-05-26,0.0,0.0,4.959999999999999,-4.959999999999999,低仓少吃,0.0,0.0,-4.959999999999999,低仓少吃,否,否,0.0
2025-06-02,1.0,1.9500000000000073,1.6500000000000195,0.29999999999998783,有效进攻,1.0,1.9500000000000073,0.29999999999998783,有效进攻,否,否,0.0
2025-06-09,0.0,0.0,1.0699999999999945,-1.0699999999999945,低仓少吃,0.0,0.0,-1.0699999999999945,低仓少吃,否,否,0.0
2025-06-16,1.0,1.7100000000000102,0.439999999999989,1.2700000000000211,有效进攻,1.0,1.7100000000000102,1.2700000000000211,有效进攻,否,否,0.0
2025-06-23,0.0,0.0,-0.660000000000001,0.660000000000001,有效防守,0.0,0.0,0.660000000000001,有效防守,否,否,0.0
2025-06-30,1.0,2.7500000000000098,0.29000000000001247,2.4599999999999973,有效进攻,1.0,2.7500000000000098,2.4599999999999973,有效进攻,否,否,0.0
2025-07-07,0.0,0.0,-2.2000000000000144,2.2000000000000144,有效防守,0.0,0.0,2.2000000000000144,有效防守,否,否,0.0
2025-07-14,0.0,0.0,0.01000000000000989,-0.01000000000000989,低仓少吃,0.0,0.0,-0.01000000000000989,低仓少吃,否,否,0.0
2025-07-21,0.0,0.0,-6.71999999999999,6.71999999999999,有效防守,0.0,0.0,6.71999999999999,有效防守,否,否,0.0
2025-07-28,0.0,0.0,2.649999999999979,-2.649999999999979,低仓少吃,0.0,0.0,-2.649999999999979,低仓少吃,否,否,0.0
2025-08-04,1.0,-0.21000000000000163,1.6800000000000148,-1.8900000000000166,其他,1.0,-0.21000000000000163,-1.8900000000000166,其他,否,否,0.0
