信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给|发行量_得分,供给|发行占比_得分,供给|10Y以上发行_得分,需求|银行总净买入_得分,估值|地方债-国债利差_得分,估值|地方债-国债利差变化_得分,估值|地方债-NCD利差_得分,情绪|非银情绪_得分
2024-04-29,2024-05-06,1.0,看多,0.0001444731031152724,0.0006523150422956814,-0.000507841939180409,0.00019559126984126983,-2.4487002499199752e-05,-0.009999999999004139,0.5599999999989986,-0.5699999999980028,否,其他,是,否,有效进攻,,,,,,,,
2024-05-06,2024-05-13,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-05-13,2024-05-20,1.0,看多,0.003250337725955399,0.0008500296633411342,0.0024003080626142648,0.0004921230158730159,0.0027566823343039486,3.1500000000009996,0.4499999999989923,2.7000000000020075,是,有效进攻,是,否,有效进攻,,,,,,,,
2024-05-20,2024-05-27,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-05-27,2024-06-03,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-06-03,2024-06-10,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-06-10,2024-06-17,1.0,看多,0.0028720301589142405,0.0027992814718342807,7.274868707995985e-05,0.00038061507936507934,0.002489026512915987,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,有效进攻,是,否,有效进攻,,,,,,,,
2024-06-17,2024-06-24,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-06-24,2024-07-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-07-01,2024-07-08,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-07-08,2024-07-15,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-07-15,2024-07-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-07-22,2024-07-29,1.0,看多,0.003981165739289638,0.006402446671589512,-0.002421280932299874,0.0004620595238095238,0.0035147877988225,3.9800000000009974,6.700000000000976,-2.719999999999979,是,有效进攻,是,否,有效进攻,,,,,,,,
2024-07-29,2024-08-05,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-08-05,2024-08-12,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-08-12,2024-08-19,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-08-19,2024-08-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
2024-08-26,2024-09-02,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,,,,,,,,
